"AUN Number","County","IU","District Name","Grade","% Advanced/Proficient Math","% Advanced/Proficient Reading","% Advanced Math","% Proficient Math","% Basic Math","% Below Basic Math","% Advanced Reading","% Proficient Reading","% Basic Reading","% Below Basic Reading"
103022803,"Allegheny",3,"EAST ALLEGHENY SD      ",5,43.4,66.8,18.1,25.3,39.2,17.5,31.3,35.5,19.9,13.3
103022803,"Allegheny",3,"EAST ALLEGHENY SD      ",8,53.2,56.8,12.9,40.3,21.6,25.2,20.1,36.7,15.8,27.3
103022803,"Allegheny",3,"EAST ALLEGHENY SD      ",11,34.4,46.1,9.9,24.5,30.5,35.1,11.7,34.4,25.3,28.6
103023090,"Allegheny",3,"URBAN LEAGUE OF PITTS C",5,43.8,25.0,6.3,37.5,25.0,31.3,12.5,12.5,50.0,25.0
103023153,"Allegheny",3,"ELIZABETH FORWARD SD   ",5,56.2,66.9,22.7,33.5,25.0,18.8,28.8,38.1,17.7,15.4
103023153,"Allegheny",3,"ELIZABETH FORWARD SD   ",8,52.2,76.4,12.2,40.0,32.2,15.5,30.8,45.6,15.6,8.0
103023153,"Allegheny",3,"ELIZABETH FORWARD SD   ",11,54.8,70.3,21.1,33.7,26.1,19.1,29.1,41.2,18.1,11.6
103023410,"Allegheny",3,"SPECTRUM CS            ",8,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,50.0,50.0
103023410,"Allegheny",3,"SPECTRUM CS            ",11,50.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0
103023912,"Allegheny",3,"FOX CHAPEL AREA SD     ",5,76.3,78.9,44.3,32.0,14.4,9.4,46.6,32.3,12.6,8.5
103023912,"Allegheny",3,"FOX CHAPEL AREA SD     ",8,70.6,80.9,33.3,37.3,15.8,13.5,48.1,32.8,11.8,7.3
103023912,"Allegheny",3,"FOX CHAPEL AREA SD     ",11,66.4,78.1,42.9,23.5,19.6,14.0,39.7,38.4,12.6,9.3
103024102,"Allegheny",3,"GATEWAY SD             ",5,52.0,55.4,22.6,29.4,24.8,23.2,20.3,35.1,21.8,22.8
103024102,"Allegheny",3,"GATEWAY SD             ",8,57.6,72.2,21.8,35.8,21.8,20.7,28.9,43.3,17.1,10.7
103024102,"Allegheny",3,"GATEWAY SD             ",11,50.5,55.9,26.1,24.4,21.5,28.0,22.8,33.1,17.4,26.7
103024603,"Allegheny",3,"HAMPTON TOWNSHIP SD    ",5,72.0,82.9,37.4,34.6,22.0,6.1,45.1,37.8,12.6,4.5
103024603,"Allegheny",3,"HAMPTON TOWNSHIP SD    ",8,77.6,85.5,38.8,38.8,12.7,9.6,46.7,38.8,9.3,5.2
103024603,"Allegheny",3,"HAMPTON TOWNSHIP SD    ",11,82.3,84.7,55.4,26.9,10.0,7.7,41.2,43.5,10.8,4.6
103024753,"Allegheny",3,"HIGHLANDS SD           ",5,77.2,80.0,32.6,44.6,16.0,6.9,40.6,39.4,16.0,4.0
103024753,"Allegheny",3,"HIGHLANDS SD           ",8,59.9,69.7,29.3,30.6,21.4,18.8,26.8,42.9,14.7,15.6
103024753,"Allegheny",3,"HIGHLANDS SD           ",11,54.4,52.9,20.1,34.3,23.5,22.1,10.3,42.6,29.9,17.2
103025002,"Allegheny",3,"KEYSTONE OAKS SD       ",5,67.8,74.5,33.3,34.5,23.2,9.0,29.9,44.6,14.7,10.7
103025002,"Allegheny",3,"KEYSTONE OAKS SD       ",8,51.9,72.2,16.5,35.4,28.8,19.3,31.6,40.6,17.5,10.4
103025002,"Allegheny",3,"KEYSTONE OAKS SD       ",11,46.9,58.8,17.0,29.9,23.7,29.4,17.0,41.8,19.6,21.6
103026002,"Allegheny",3,"MCKEESPORT AREA SD     ",5,44.8,37.0,13.6,31.2,26.4,28.8,13.4,23.6,22.7,40.3
103026002,"Allegheny",3,"MCKEESPORT AREA SD     ",8,22.6,40.0,6.9,15.7,27.4,50.0,11.6,28.4,27.5,32.5
103026002,"Allegheny",3,"MCKEESPORT AREA SD     ",11,36.9,55.4,11.8,25.1,25.1,38.0,11.1,44.3,20.3,24.4
103026303,"Allegheny",3,"MONTOUR SD             ",5,70.9,71.1,35.9,35.0,17.3,11.8,26.4,44.7,17.9,11.1
103026303,"Allegheny",3,"MONTOUR SD             ",8,60.7,75.3,19.0,41.7,24.0,15.3,29.8,45.5,17.4,7.4
103026303,"Allegheny",3,"MONTOUR SD             ",11,52.6,71.2,23.2,29.4,26.5,21.0,18.8,52.4,17.7,11.1
103026343,"Allegheny",3,"MOON AREA SD           ",5,65.9,78.7,25.0,40.9,23.6,10.5,40.1,38.6,14.4,6.9
103026343,"Allegheny",3,"MOON AREA SD           ",8,66.6,81.6,20.6,46.0,21.3,12.1,29.4,52.2,11.8,6.6
103026343,"Allegheny",3,"MOON AREA SD           ",11,69.7,76.9,39.0,30.7,18.3,12.0,34.3,42.6,10.3,12.8
103026402,"Allegheny",3,"MT LEBANON SD          ",5,87.8,83.6,53.6,34.2,8.4,3.8,48.6,35.0,12.2,4.2
103026402,"Allegheny",3,"MT LEBANON SD          ",8,87.3,87.6,51.8,35.5,8.4,4.3,51.9,35.7,9.9,2.5
103026402,"Allegheny",3,"MT LEBANON SD          ",11,79.7,81.5,51.6,28.1,10.6,9.7,41.8,39.7,9.7,8.8
103026852,"Allegheny",3,"NORTH ALLEGHENY SD     ",5,76.9,78.6,40.4,36.5,16.0,7.2,40.4,38.2,16.5,4.9
103026852,"Allegheny",3,"NORTH ALLEGHENY SD     ",8,81.4,88.4,50.1,31.3,11.7,6.9,52.9,35.5,6.5,5.1
103026852,"Allegheny",3,"NORTH ALLEGHENY SD     ",11,77.8,85.2,52.6,25.2,12.0,10.2,42.0,43.2,9.6,5.3
103026873,"Allegheny",3,"NORTHGATE SD           ",5,75.0,82.8,46.1,28.9,17.2,7.8,50.8,32.0,9.4,7.8
103026873,"Allegheny",3,"NORTHGATE SD           ",8,57.4,66.4,24.6,32.8,24.6,18.0,24.6,41.8,19.7,13.9
103026873,"Allegheny",3,"NORTHGATE SD           ",11,48.0,64.8,20.0,28.0,21.6,30.4,15.2,49.6,22.4,12.8
103026902,"Allegheny",3,"NORTH HILLS SD         ",5,83.3,80.4,47.6,35.7,12.7,4.0,39.2,41.2,13.8,5.8
103026902,"Allegheny",3,"NORTH HILLS SD         ",8,69.1,74.6,31.2,37.9,18.3,12.6,30.6,44.0,13.6,11.9
103026902,"Allegheny",3,"NORTH HILLS SD         ",11,65.6,72.4,30.7,34.9,17.9,16.5,31.3,41.1,15.1,12.5
103027352,"Allegheny",3,"PENN HILLS SD          ",5,46.0,47.6,19.9,26.1,22.1,31.9,18.6,29.0,25.7,26.8
103027352,"Allegheny",3,"PENN HILLS SD          ",8,38.0,59.6,12.3,25.7,28.9,33.1,18.8,40.8,22.9,17.5
103027352,"Allegheny",3,"PENN HILLS SD          ",11,39.9,61.8,16.7,23.2,27.0,33.2,16.9,44.9,20.8,17.4
103027503,"Allegheny",3,"PLUM BOROUGH SD        ",5,61.8,69.9,29.4,32.4,22.5,15.7,28.1,41.8,18.3,11.8
103027503,"Allegheny",3,"PLUM BOROUGH SD        ",8,53.1,68.3,19.6,33.5,27.6,19.3,28.5,39.8,20.8,11.0
103027503,"Allegheny",3,"PLUM BOROUGH SD        ",11,53.6,71.4,24.4,29.2,26.4,19.9,22.5,48.9,17.4,11.2
103027753,"Allegheny",3,"QUAKER VALLEY SD       ",5,79.5,75.0,43.6,35.9,7.7,12.8,41.0,34.0,16.0,9.0
103027753,"Allegheny",3,"QUAKER VALLEY SD       ",8,77.3,79.9,35.2,42.1,10.1,12.6,43.4,36.5,12.6,7.5
103027753,"Allegheny",3,"QUAKER VALLEY SD       ",11,68.9,72.6,41.5,27.4,15.2,15.9,30.5,42.1,14.6,12.8
103028203,"Allegheny",3,"RIVERVIEW SD           ",5,56.2,70.8,32.6,23.6,27.0,16.9,29.2,41.6,20.2,9.0
103028203,"Allegheny",3,"RIVERVIEW SD           ",8,61.3,67.9,22.6,38.7,26.4,12.3,28.3,39.6,21.7,10.4
103028203,"Allegheny",3,"RIVERVIEW SD           ",11,70.6,78.8,36.5,34.1,17.6,11.8,30.6,48.2,15.3,5.9
103028302,"Allegheny",3,"SHALER AREA SD         ",5,54.7,62.7,23.7,31.0,24.9,20.5,23.7,39.0,19.5,17.8
103028302,"Allegheny",3,"SHALER AREA SD         ",8,51.6,67.7,18.8,32.8,23.2,25.3,27.7,40.0,17.9,14.4
103028302,"Allegheny",3,"SHALER AREA SD         ",11,53.8,59.9,24.1,29.7,21.0,25.2,17.8,42.1,19.7,20.3
103028653,"Allegheny",3,"SOUTH ALLEGHENY SD     ",5,68.3,58.3,32.5,35.8,18.5,13.2,26.5,31.8,27.2,14.6
103028653,"Allegheny",3,"SOUTH ALLEGHENY SD     ",8,38.3,54.9,11.3,27.0,28.4,33.3,15.5,39.4,31.0,14.1
103028653,"Allegheny",3,"SOUTH ALLEGHENY SD     ",11,35.1,57.8,11.2,23.9,31.3,33.6,18.5,39.3,21.5,20.7
103028703,"Allegheny",3,"SOUTH FAYETTE TOWNSHIP ",5,82.9,85.4,60.2,22.7,11.7,5.5,58.5,26.9,7.7,6.9
103028703,"Allegheny",3,"SOUTH FAYETTE TOWNSHIP ",8,79.4,85.4,39.7,39.7,13.9,6.6,41.7,43.7,8.6,6.0
103028703,"Allegheny",3,"SOUTH FAYETTE TOWNSHIP ",11,70.9,80.6,35.8,35.1,18.7,10.4,35.8,44.8,12.7,6.7
103028753,"Allegheny",3,"SOUTH PARK SD          ",5,62.5,69.4,35.6,26.9,25.6,11.9,31.3,38.1,19.4,11.3
103028753,"Allegheny",3,"SOUTH PARK SD          ",8,65.0,80.4,26.0,39.0,24.3,10.7,30.7,49.7,18.4,1.1
103028753,"Allegheny",3,"SOUTH PARK SD          ",11,65.2,82.0,34.4,30.8,18.5,16.4,29.7,52.3,10.8,7.2
