"The 2008 PSSA Writing District Level Proficiency Results by Grade and District Total (Full Academic Year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Groups that have less than 10 students assessed are noted by an asterisk (*). Performance level totals may not add up to 100 due to rounding. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"District total may include data from those grades that are represented by an asterisk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AUN","County","IU Number","District Name","Grade","Number Scored Writing","% Advanced","% Proficient","% Basic","% Below Basic","Number Scored Writing                IEP","% Advanced IEP","% Proficient IEP","% Basic              IEP","% Below Basic             IEP","Number Scored Writing                ELL","% Advanced ELL","% Proficient ELL","% Basic             ELL","% Below Basic              ELL","Number Scored Writing Title I","% Advanced Title I","% Proficient Title I","% Basic             Title I","% Below Basic            Title I","Number Scored Writing Migrant","% Advanced Migrant","% Proficient Migrant","% Basic Migrant","% Below Basic Migrant","Number Scored Writing Econ. Disadv.","% Advanced Econ. Disadv.","% Proficient Econ. Disadv.","% Basic Econ. Disadv.","% Below Basic Econ. Disadv.","Number Scored Writing Male","% Advanced Male","% Proficient Male","% Basic              Male","% Below Basic             Male","Number Scored Writing Female","% Advanced Female","% Proficient Female","% Basic Female","% Below Basic Female","Number Scored Writing Title III","% Advanced Title III","% Proficient Title III","% Basic                 Title III","% Below Basic             Title III","Number Scored Writing  White","% Advanced  White","% Proficient  White","% Basic  White","% Below Basic  White","Number Scored Writing  Black","% Advanced  Black","% Proficient  Black","% Basic  Black","% Below Basic  Black","Number Scored Writing  Hispanic","% Advanced  Hispanic","% Proficient  Hispanic","% Basic  Hispanic","% Below Basic  Hispanic","Number Scored Writing  Asian","% Advanced  Asian","% Proficient  Asian","% Basic Asian","% Below Basic  Asian","Number Scored Writing  Native American","% Advanced  Native American","% Proficient  Native American","% Basic  Native American","% Below Basic  Native American","Number Scored Writing  Multi-ethnic","% Advanced  Multi-ethnic","% Proficient  Multi-ethnic","% Basic  Multi-ethnic","% Below Basic      Multi-ethnic"
112018523,"Adams                           ",12,"UPPER ADAMS SD",5,125,2.4,59.2,37.6,0.8,24,0.0,20.8,75.0,4.2,8,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",44,0.0,43.2,56.8,0.0,62,3.2,51.6,43.5,1.6,63,1.6,66.7,31.7,0.0,5,"*","*","*","*",95,3.2,60.0,35.8,1.1,2,"*","*","*","*",26,0.0,50.0,50.0,0.0,2,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112018523,"Adams                           ",12,"UPPER ADAMS SD",8,145,0.7,75.2,23.4,0.7,24,0.0,37.5,58.3,4.2,2,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",34,0.0,67.6,32.4,0.0,70,0.0,68.6,30.0,1.4,75,1.3,81.3,17.3,0.0,0,"*","*","*","*",122,0.8,75.4,23.0,0.8,2,"*","*","*","*",20,0.0,75.0,25.0,0.0,1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112018523,"Adams                           ",12,"UPPER ADAMS SD",11,133,5.3,80.5,13.5,0.8,20,5.0,50.0,40.0,5.0,5,"*","*","*","*",0,"*","*","*","*",1,"*","*","*","*",36,8.3,66.7,22.2,2.8,58,0.0,74.1,24.1,1.7,75,9.3,85.3,5.3,0.0,0,"*","*","*","*",109,5.5,85.3,8.3,0.9,2,"*","*","*","*",21,0.0,57.1,42.9,0.0,1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112018523,"Adams                           ",12,"UPPER ADAMS SD","Distict total",403,2.7,72.0,24.6,0.7,68,1.5,35.3,58.8,4.4,15,0.0,20.0,80.0,0.0,0,"*","*","*","*",1,"*","*","*","*",114,2.6,57.9,38.6,0.9,190,1.1,64.7,32.6,1.6,213,4.2,78.4,17.4,0.0,5,"*","*","*","*",326,3.1,74.2,21.8,0.9,6,"*","*","*","*",67,0.0,59.7,40.3,0.0,4,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
103020603,"Allegheny                       ",3,"ALLEGHENY VALLEY SD",5,65,3.1,75.4,18.5,3.1,9,"*","*","*","*",0,"*","*","*","*",22,0.0,54.5,36.4,9.1,0,"*","*","*","*",23,0.0,73.9,21.7,4.3,27,0.0,70.4,29.6,0.0,38,5.3,78.9,10.5,5.3,0,"*","*","*","*",65,3.1,75.4,18.5,3.1,0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
103020603,"Allegheny                       ",3,"ALLEGHENY VALLEY SD",8,91,1.1,75.8,23.1,0.0,12,0.0,25.0,75.0,0.0,0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",25,0.0,60.0,40.0,0.0,40,2.5,70.0,27.5,0.0,51,0.0,80.4,19.6,0.0,0,"*","*","*","*",84,0.0,77.4,22.6,0.0,5,"*","*","*","*",2,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
103020603,"Allegheny                       ",3,"ALLEGHENY VALLEY SD",11,106,4.7,84.0,11.3,0.0,12,0.0,66.7,33.3,0.0,0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",25,4.0,68.0,28.0,0.0,62,1.6,82.3,16.1,0.0,44,9.1,86.4,4.5,0.0,0,"*","*","*","*",102,4.9,83.3,11.8,0.0,2,"*","*","*","*",1,"*","*","*","*",1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
103020603,"Allegheny                       ",3,"ALLEGHENY VALLEY SD","Distict total",262,3.1,79.0,17.2,0.8,33,0.0,45.5,48.5,6.1,0,"*","*","*","*",22,0.0,54.5,36.4,9.1,0,"*","*","*","*",73,1.4,67.1,30.1,1.4,129,1.6,76.0,22.5,0.0,133,4.5,82.0,12.0,1.5,0,"*","*","*","*",251,2.8,79.3,17.1,0.8,7,"*","*","*","*",3,"*","*","*","*",1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
103020753,"Allegheny                       ",3,"AVONWORTH SD",5,84,3.6,67.9,27.4,1.2,7,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",10,10.0,60.0,30.0,0.0,44,0.0,65.9,31.8,2.3,40,7.5,70.0,22.5,0.0,0,"*","*","*","*",80,3.8,68.8,26.3,1.3,2,"*","*","*","*",0,"*","*","*","*",2,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
103020753,"Allegheny                       ",3,"AVONWORTH SD",8,103,8.7,78.6,9.7,2.9,15,0.0,26.7,53.3,20.0,0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",5,"*","*","*","*",53,7.5,77.4,11.3,3.8,48,10.4,81.3,6.3,2.1,0,"*","*","*","*",100,9.0,80.0,8.0,3.0,1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
