"The 2006 District PSSA Writing Scores: % Students at Each Performance Level (Full Academic Year)",,,,,,,,,
"Performance level totals may not add up to 100 due to rounding.",,,,,,,,,
,,,,,,,,,
"AUN","County","IU","District Name","Grade","Number of students","%Advanced Writing","%Proficient Writing","%Basic Writing","%Below Basic Writing"
103026002,"ALLEGHENY",3,"MCKEESPORT AREA SD",5,316,0.6,50.0,48.4,0.9
103026002,"ALLEGHENY",3,"MCKEESPORT AREA SD",8,332,0.9,59.3,31.3,8.4
103026002,"ALLEGHENY",3,"MCKEESPORT AREA SD",11,286,5.2,64.3,26.9,3.5
103026303,"ALLEGHENY",3,"MONTOUR SD",5,230,0.9,74.3,24.8,0.0
103026303,"ALLEGHENY",3,"MONTOUR SD",8,247,5.7,78.5,14.2,1.6
103026303,"ALLEGHENY",3,"MONTOUR SD",11,243,10.3,84.8,4.9,0.0
103026343,"ALLEGHENY",3,"MOON AREA SD",5,286,1.4,57.0,41.3,0.3
103026343,"ALLEGHENY",3,"MOON AREA SD",8,291,6.9,77.3,15.1,0.7
103026343,"ALLEGHENY",3,"MOON AREA SD",11,265,20.4,75.5,3.8,0.4
103026402,"ALLEGHENY",3,"MT LEBANON SD",5,407,19.7,64.4,16.0,0.0
103026402,"ALLEGHENY",3,"MT LEBANON SD",8,457,17.7,72.2,9.2,0.9
103026402,"ALLEGHENY",3,"MT LEBANON SD",11,477,51.8,45.3,2.9,0.0
103026852,"ALLEGHENY",3,"NORTH ALLEGHENY SD",5,586,10.4,68.8,20.6,0.2
103026852,"ALLEGHENY",3,"NORTH ALLEGHENY SD",8,647,14.7,74.3,10.7,0.3
103026852,"ALLEGHENY",3,"NORTH ALLEGHENY SD",11,652,26.7,68.3,4.3,0.8
103026902,"ALLEGHENY",3,"NORTH HILLS SD",5,309,7.4,70.2,22.3,0.0
103026902,"ALLEGHENY",3,"NORTH HILLS SD",8,371,2.7,78.2,18.9,0.3
103026902,"ALLEGHENY",3,"NORTH HILLS SD",11,417,23.3,73.6,2.9,0.2
103026873,"ALLEGHENY",3,"NORTHGATE SD",5,103,3.9,72.8,23.3,0.0
103026873,"ALLEGHENY",3,"NORTHGATE SD",8,135,4.4,51.9,42.2,1.5
103026873,"ALLEGHENY",3,"NORTHGATE SD",11,115,16.5,69.6,10.4,3.5
103027352,"ALLEGHENY",3,"PENN HILLS SD",5,381,0.3,40.7,58.0,1.0
103027352,"ALLEGHENY",3,"PENN HILLS SD",8,428,0.2,36.4,54.9,8.4
103027352,"ALLEGHENY",3,"PENN HILLS SD",11,447,9.4,80.3,9.4,0.9
103021003,"ALLEGHENY",3,"PINE-RICHLAND SD",5,328,3.4,67.7,28.7,0.3
103021003,"ALLEGHENY",3,"PINE-RICHLAND SD",8,301,9.0,83.1,7.3,0.7
103021003,"ALLEGHENY",3,"PINE-RICHLAND SD",11,332,29.5,67.5,3.0,0.0
102027451,"ALLEGHENY",2,"PITTSBURGH SD",5,"2,166",0.6,36.0,61.8,1.5
102027451,"ALLEGHENY",2,"PITTSBURGH SD",8,"2,366",3.5,42.0,45.9,8.7
102027451,"ALLEGHENY",2,"PITTSBURGH SD",11,"1,821",8.9,64.4,22.7,4.0
103027503,"ALLEGHENY",3,"PLUM BOROUGH SD",5,309,3.6,64.4,32.0,0.0
103027503,"ALLEGHENY",3,"PLUM BOROUGH SD",8,332,6.0,65.7,27.7,0.6
103027503,"ALLEGHENY",3,"PLUM BOROUGH SD",11,340,24.4,62.9,11.5,1.2
103027753,"ALLEGHENY",3,"QUAKER VALLEY SD",5,146,7.5,54.8,37.0,0.7
103027753,"ALLEGHENY",3,"QUAKER VALLEY SD",8,156,5.8,75.0,18.6,0.6
103027753,"ALLEGHENY",3,"QUAKER VALLEY SD",11,149,32.2,64.4,2.7,0.7
103028203,"ALLEGHENY",3,"RIVERVIEW SD",5,76,11.8,64.5,23.7,0.0
103028203,"ALLEGHENY",3,"RIVERVIEW SD",8,91,5.5,60.4,34.1,0.0
103028203,"ALLEGHENY",3,"RIVERVIEW SD",11,104,6.7,76.0,17.3,0.0
103028302,"ALLEGHENY",3,"SHALER AREA SD",5,345,1.2,55.4,43.5,0.0
103028302,"ALLEGHENY",3,"SHALER AREA SD",8,428,3.7,63.1,30.6,2.6
103028302,"ALLEGHENY",3,"SHALER AREA SD",11,536,17.9,68.5,12.9,0.7
103028653,"ALLEGHENY",3,"SOUTH ALLEGHENY SD",5,112,0.9,48.2,50.9,0.0
103028653,"ALLEGHENY",3,"SOUTH ALLEGHENY SD",8,154,3.2,63.6,30.5,2.6
103028653,"ALLEGHENY",3,"SOUTH ALLEGHENY SD",11,132,15.2,72.0,12.1,0.8
103028703,"ALLEGHENY",3,"SOUTH FAYETTE TOWNSHIP SD",5,165,2.4,63.0,34.5,0.0
103028703,"ALLEGHENY",3,"SOUTH FAYETTE TOWNSHIP SD",8,144,9.0,77.1,12.5,1.4
103028703,"ALLEGHENY",3,"SOUTH FAYETTE TOWNSHIP SD",11,163,28.2,65.0,6.7,0.0
103028753,"ALLEGHENY",3,"SOUTH PARK SD",5,181,6.1,73.5,19.9,0.6
103028753,"ALLEGHENY",3,"SOUTH PARK SD",8,167,3.0,62.9,33.5,0.6
103028753,"ALLEGHENY",3,"SOUTH PARK SD",11,192,20.3,70.3,6.8,2.6
103028833,"ALLEGHENY",3,"STEEL VALLEY SD",5,161,1.9,33.5,60.2,4.3
103028833,"ALLEGHENY",3,"STEEL VALLEY SD",8,158,3.2,51.9,38.6,6.3
103028833,"ALLEGHENY",3,"STEEL VALLEY SD",11,153,8.5,68.6,17.0,5.9
103028853,"ALLEGHENY",3,"STO-ROX SD",5,84,0.0,46.4,51.2,2.4
103028853,"ALLEGHENY",3,"STO-ROX SD",8,111,0.9,47.7,45.9,5.4
103028853,"ALLEGHENY",3,"STO-ROX SD",11,103,0.0,65.0,30.1,4.9
103029203,"ALLEGHENY",3,"UPPER SAINT CLAIR SD",5,300,2.7,67.0,30.3,0.0
103029203,"ALLEGHENY",3,"UPPER SAINT CLAIR SD",8,336,22.6,74.1,3.3,0.0
103029203,"ALLEGHENY",3,"UPPER SAINT CLAIR SD",11,365,52.3,46.3,1.4,0.0
103029403,"ALLEGHENY",3,"WEST ALLEGHENY SD",5,254,2.8,72.4,24.8,0.0
103029403,"ALLEGHENY",3,"WEST ALLEGHENY SD",8,230,10.4,77.8,11.7,0.0
103029403,"ALLEGHENY",3,"WEST ALLEGHENY SD",11,246,57.7,40.2,2.0,0.0
103029553,"ALLEGHENY",3,"WEST JEFFERSON HILLS SD",5,190,8.4,70.0,20.5,1.1
103029553,"ALLEGHENY",3,"WEST JEFFERSON HILLS SD",8,233,8.2,61.8,28.3,1.7
103029553,"ALLEGHENY",3,"WEST JEFFERSON HILLS SD",11,258,26.4,65.9,7.4,0.4
103029603,"ALLEGHENY",3,"WEST MIFFLIN AREA SD",5,241,2.1,41.5,55.2,1.2
103029603,"ALLEGHENY",3,"WEST MIFFLIN AREA SD",8,263,1.1,60.5,34.6,3.8
103029603,"ALLEGHENY",3,"WEST MIFFLIN AREA SD",11,245,11.8,71.4,14.7,2.0
103029803,"ALLEGHENY",3,"WILKINSBURG BOROUGH SD",5,113,0.0,23.0,75.2,1.8
103029803,"ALLEGHENY",3,"WILKINSBURG BOROUGH SD",8,106,0.0,20.8,68.9,10.4
103029803,"ALLEGHENY",3,"WILKINSBURG BOROUGH SD",11,71,5.6,57.7,31.0,5.6
103029902,"ALLEGHENY",3,"WOODLAND HILLS SD",5,337,0.9,26.1,72.7,0.3
103029902,"ALLEGHENY",3,"WOODLAND HILLS SD",8,405,0.0,44.7,45.7,9.6
103029902,"ALLEGHENY",3,"WOODLAND HILLS SD",11,367,14.4,66.2,16.1,3.3
128030603,"ARMSTRONG",28,"APOLLO-RIDGE SD",5,130,0.0,54.6,44.6,0.8
128030603,"ARMSTRONG",28,"APOLLO-RIDGE SD",8,134,1.5,68.7,27.6,2.2
128030603,"ARMSTRONG",28,"APOLLO-RIDGE SD",11,78,7.7,82.1,10.3,0.0
128030852,"ARMSTRONG",28,"ARMSTRONG SD",5,434,0.0,42.4,57.1,0.5
128030852,"ARMSTRONG",28,"ARMSTRONG SD",8,471,1.7,55.8,38.4,4.0
128030852,"ARMSTRONG",28,"ARMSTRONG SD",11,317,15.1,72.9,9.8,2.2
128033053,"ARMSTRONG",28,"FREEPORT AREA SD",5,145,0.7,58.6,40.7,0.0
128033053,"ARMSTRONG",28,"FREEPORT AREA SD",8,149,4.7,74.5,16.8,4.0
128033053,"ARMSTRONG",28,"FREEPORT AREA SD",11,152,8.6,84.2,7.2,0.0
128034503,"ARMSTRONG",28,"LEECHBURG AREA SD",5,56,5.4,50.0,44.6,0.0
128034503,"ARMSTRONG",28,"LEECHBURG AREA SD",8,63,0.0,41.3,52.4,6.3
128034503,"ARMSTRONG",28,"LEECHBURG AREA SD",11,42,42.9,54.8,2.4,0.0
127040503,"BEAVER",27,"ALIQUIPPA SD",5,78,0.0,32.1,65.4,2.6
127040503,"BEAVER",27,"ALIQUIPPA SD",8,81,0.0,27.2,50.6,22.2
127040503,"BEAVER",27,"ALIQUIPPA SD",11,78,3.8,76.9,17.9,1.3
127040703,"BEAVER",27,"AMBRIDGE AREA SD",5,204,3.9,55.4,39.7,1.0
127040703,"BEAVER",27,"AMBRIDGE AREA SD",8,244,0.8,49.6,45.5,4.1
127040703,"BEAVER",27,"AMBRIDGE AREA SD",11,221,6.8,71.9,18.6,2.7
127041203,"BEAVER",27,"BEAVER AREA SD",5,160,3.1,71.3,25.6,0.0
127041203,"BEAVER",27,"BEAVER AREA SD",8,149,6.7,67.8,25.5,0.0
127041203,"BEAVER",27,"BEAVER AREA SD",11,175,17.1,76.0,6.3,0.6
127041503,"BEAVER",27,"BIG BEAVER FALLS AREA SD",5,125,0.0,68.0,30.4,1.6
127041503,"BEAVER",27,"BIG BEAVER FALLS AREA SD",8,141,2.1,54.6,41.1,2.1
127041503,"BEAVER",27,"BIG BEAVER FALLS AREA SD",11,125,17.6,69.6,12.0,0.8
127041603,"BEAVER",27,"BLACKHAWK SD",5,214,1.4,64.0,34.6,0.0
127041603,"BEAVER",27,"BLACKHAWK SD",8,217,3.2,69.6,25.8,1.4
127041603,"BEAVER",27,"BLACKHAWK SD",11,199,6.5,77.9,14.6,1.0
127041903,"BEAVER",27,"CENTER AREA SD",5,144,2.8,66.7,30.6,0.0
127041903,"BEAVER",27,"CENTER AREA SD",8,142,4.2,64.1,30.3,1.4
127041903,"BEAVER",27,"CENTER AREA SD",11,170,12.9,80.0,5.3,1.8
127042853,"BEAVER",27,"FREEDOM AREA SD",5,125,0.0,41.6,57.6,0.8
127042853,"BEAVER",27,"FREEDOM AREA SD",8,132,6.8,72.7,20.5,0.0
127042853,"BEAVER",27,"FREEDOM AREA SD",11,127,12.6,81.9,5.5,0.0
127044103,"BEAVER",27,"HOPEWELL AREA SD",5,190,1.1,47.9,51.1,0.0
127044103,"BEAVER",27,"HOPEWELL AREA SD",8,229,2.6,59.0,35.8,2.6
127044103,"BEAVER",27,"HOPEWELL AREA SD",11,237,9.3,84.4,5.9,0.4
127045303,"BEAVER",27,"MIDLAND BOROUGH SD",5,31,0.0,71.0,29.0,0.0
127045303,"BEAVER",27,"MIDLAND BOROUGH SD",8,21,0.0,71.4,23.8,4.8
127045453,"BEAVER",27,"MONACA SD",5,52,1.9,46.2,51.9,0.0
127045453,"BEAVER",27,"MONACA SD",8,51,0.0,52.9,39.2,7.8
127045453,"BEAVER",27,"MONACA SD",11,64,12.5,76.6,10.9,0.0
127045653,"BEAVER",27,"NEW BRIGHTON AREA SD",5,135,1.5,58.5,38.5,1.5
127045653,"BEAVER",27,"NEW BRIGHTON AREA SD",8,141,2.1,74.5,22.0,1.4
127045653,"BEAVER",27,"NEW BRIGHTON AREA SD",11,144,11.1,73.6,13.9,1.4
127045853,"BEAVER",27,"RIVERSIDE BEAVER COUNTY SD",5,145,0.0,44.8,53.8,1.4
127045853,"BEAVER",27,"RIVERSIDE BEAVER COUNTY SD",8,169,2.4,62.7,30.8,4.1
127045853,"BEAVER",27,"RIVERSIDE BEAVER COUNTY SD",11,175,11.4,81.1,7.4,0.0
127046903,"BEAVER",27,"ROCHESTER AREA SD",5,77,0.0,66.2,33.8,0.0
127046903,"BEAVER",27,"ROCHESTER AREA SD",8,100,3.0,73.0,21.0,3.0
127046903,"BEAVER",27,"ROCHESTER AREA SD",11,86,7.0,72.1,20.9,0.0
127047404,"BEAVER",27,"SOUTH SIDE AREA SD",5,85,3.5,68.2,28.2,0.0
127047404,"BEAVER",27,"SOUTH SIDE AREA SD",8,111,1.8,66.7,31.5,0.0
127047404,"BEAVER",27,"SOUTH SIDE AREA SD",11,101,16.8,70.3,11.9,1.0
127049303,"BEAVER",27,"WESTERN BEAVER COUNTY SD",5,72,9.7,61.1,29.2,0.0
127049303,"BEAVER",27,"WESTERN BEAVER COUNTY SD",8,66,4.5,69.7,25.8,0.0
127049303,"BEAVER",27,"WESTERN BEAVER COUNTY SD",11,89,2.2,68.5,27.0,2.2
108051003,"BEDFORD",8,"BEDFORD AREA SD",5,162,0.0,51.9,48.1,0.0
108051003,"BEDFORD",8,"BEDFORD AREA SD",8,195,1.5,63.6,32.8,2.1
108051003,"BEDFORD",8,"BEDFORD AREA SD",11,184,16.3,73.9,9.8,0.0
108051503,"BEDFORD",8,"CHESTNUT RIDGE SD",5,116,0.0,26.7,73.3,0.0
108051503,"BEDFORD",8,"CHESTNUT RIDGE SD",8,126,3.2,77.8,17.5,1.6
108051503,"BEDFORD",8,"CHESTNUT RIDGE SD",11,156,17.3,70.5,11.5,0.6
108053003,"BEDFORD",8,"EVERETT AREA SD",5,115,0.0,39.1,60.0,0.9
108053003,"BEDFORD",8,"EVERETT AREA SD",8,125,0.8,40.8,48.8,9.6
108053003,"BEDFORD",8,"EVERETT AREA SD",11,124,3.2,44.4,47.6,4.8
108056004,"BEDFORD",8,"NORTHERN BEDFORD COUNTY SD",5,88,0.0,37.5,61.4,1.1
108056004,"BEDFORD",8,"NORTHERN BEDFORD COUNTY SD",8,70,0.0,67.1,24.3,8.6
108056004,"BEDFORD",8,"NORTHERN BEDFORD COUNTY SD",11,77,7.8,74.0,18.2,0.0
108058003,"BEDFORD",8,"TUSSEY MOUNTAIN SD",5,82,0.0,41.5,58.5,0.0
108058003,"BEDFORD",8,"TUSSEY MOUNTAIN SD",8,81,0.0,38.3,58.0,3.7
108058003,"BEDFORD",8,"TUSSEY MOUNTAIN SD",11,89,6.7,79.8,12.4,1.1
114060503,"BERKS",14,"ANTIETAM SD",5,67,1.5,53.7,44.8,0.0
114060503,"BERKS",14,"ANTIETAM SD",8,103,1.0,31.1,65.0,2.9
114060503,"BERKS",14,"ANTIETAM SD",11,82,12.2,62.2,23.2,2.4
114060753,"BERKS",14,"BOYERTOWN AREA SD",5,526,0.4,58.7,40.9,0.0
114060753,"BERKS",14,"BOYERTOWN AREA SD",8,547,2.9,67.8,26.9,2.4
114060753,"BERKS",14,"BOYERTOWN AREA SD",11,537,11.9,76.2,11.4,0.6
114060853,"BERKS",14,"BRANDYWINE HEIGHTS AREA SD",5,134,1.5,55.2,42.5,0.7
114060853,"BERKS",14,"BRANDYWINE HEIGHTS AREA SD",8,159,1.3,61.0,34.6,3.1
114060853,"BERKS",14,"BRANDYWINE HEIGHTS AREA SD",11,164,16.5,69.5,12.8,1.2
114061103,"BERKS",14,"CONRAD WEISER AREA SD",5,213,1.4,61.5,37.1,0.0
114061103,"BERKS",14,"CONRAD WEISER AREA SD",8,246,4.1,60.2,34.1,1.6
114061103,"BERKS",14,"CONRAD WEISER AREA SD",11,205,15.1,69.3,13.7,2.0
114061503,"BERKS",14,"DANIEL BOONE AREA SD",5,258,1.9,44.2,52.3,1.6
114061503,"BERKS",14,"DANIEL BOONE AREA SD",8,299,3.3,43.8,52.5,0.3
114061503,"BERKS",14,"DANIEL BOONE AREA SD",11,277,15.5,68.6,15.5,0.4
114062003,"BERKS",14,"EXETER TOWNSHIP SD",5,328,0.0,71.0,29.0,0.0
114062003,"BERKS",14,"EXETER TOWNSHIP SD",8,328,5.8,71.3,21.0,1.8
114062003,"BERKS",14,"EXETER TOWNSHIP SD",11,330,27.6,68.5,3.9,0.0
114062503,"BERKS",14,"FLEETWOOD AREA SD",5,198,4.0,74.7,21.2,0.0
114062503,"BERKS",14,"FLEETWOOD AREA SD",8,214,3.7,72.0,24.3,0.0
114062503,"BERKS",14,"FLEETWOOD AREA SD",11,193,12.4,69.4,15.5,2.6
114063003,"BERKS",14,"GOVERNOR MIFFLIN SD",5,332,1.2,46.7,52.1,0.0
114063003,"BERKS",14,"GOVERNOR MIFFLIN SD",8,379,2.1,58.6,39.1,0.3
114063003,"BERKS",14,"GOVERNOR MIFFLIN SD",11,372,11.8,75.0,12.9,0.3
114063503,"BERKS",14,"HAMBURG AREA SD",5,201,1.0,36.3,61.7,1.0
114063503,"BERKS",14,"HAMBURG AREA SD",8,210,1.9,66.2,30.5,1.4
114063503,"BERKS",14,"HAMBURG AREA SD",11,202,16.8,61.9,18.8,2.5
114064003,"BERKS",14,"KUTZTOWN AREA SD",5,116,7.8,60.3,31.0,0.9
114064003,"BERKS",14,"KUTZTOWN AREA SD",8,135,3.7,64.4,31.9,0.0
114064003,"BERKS",14,"KUTZTOWN AREA SD",11,134,6.7,73.9,18.7,0.7
114065503,"BERKS",14,"MUHLENBERG SD",5,233,0.0,54.5,45.5,0.0
114065503,"BERKS",14,"MUHLENBERG SD",8,270,3.0,58.9,33.7,4.4
114065503,"BERKS",14,"MUHLENBERG SD",11,242,11.6,80.6,7.9,0.0
114066503,"BERKS",14,"OLEY VALLEY SD",5,151,0.0,55.6,43.7,0.7
114066503,"BERKS",14,"OLEY VALLEY SD",8,201,1.5,58.2,37.8,2.5
114066503,"BERKS",14,"OLEY VALLEY SD",11,157,5.7,75.8,15.9,2.5
114067002,"BERKS",14,"READING SD",5,"1,134",0.1,34.7,63.3,1.9
114067002,"BERKS",14,"READING SD",8,"1,097",0.8,34.8,54.1,10.2
114067002,"BERKS",14,"READING SD",11,587,1.7,71.2,22.7,4.4
114067503,"BERKS",14,"SCHUYLKILL VALLEY SD",5,153,0.7,40.5,58.8,0.0
114067503,"BERKS",14,"SCHUYLKILL VALLEY SD",8,172,4.1,79.1,16.3,0.6
114067503,"BERKS",14,"SCHUYLKILL VALLEY SD",11,154,22.7,69.5,5.8,1.9
114068003,"BERKS",14,"TULPEHOCKEN AREA SD",5,122,0.0,26.2,72.1,1.6
114068003,"BERKS",14,"TULPEHOCKEN AREA SD",8,135,5.9,47.4,45.2,1.5
114068003,"BERKS",14,"TULPEHOCKEN AREA SD",11,123,8.1,69.1,22.0,0.8
114068103,"BERKS",14,"TWIN VALLEY SD",5,255,3.9,46.3,48.6,1.2
114068103,"BERKS",14,"TWIN VALLEY SD",8,257,3.5,53.7,40.1,2.7
114068103,"BERKS",14,"TWIN VALLEY SD",11,250,16.4,65.6,17.6,0.4
114069103,"BERKS",14,"WILSON SD",5,409,4.2,63.6,32.0,0.2
