"The 2007 PSSA Writing District Level Proficiency Results by Grade and District Total (Full Academic Year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Groups that have less than 10 students assessed are noted by an asterisk (*). Performance level totals may not add up to 100 due to rounding. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"District total may include data from those grades that are represented by an asterisk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AUN","County","IU Number","District Name","Grade","Number scored Writing","Writing Advanced","Writing Proficient","Writing Basic","Writing Below Basic","Number scored Writing                IEP","Writing Advanced IEP","Writing Proficient IEP","Writing Basic              IEP","Writing Below Basic             IEP","Number scored Writing                ELL","Writing Advanced ELL","Writing Proficient ELL","Writing Basic             ELL","Writing Below Basic              ELL","Number scored Writing Title I","Writing Advanced Title I","Writing Proficient Title I","Writing Basic             Title I","Writing Below Basic            Title I","Number scored Writing Migrant","Writing Advanced Migrant","Writing Proficient Migrant","Writing Basic Migrant","Writing Below Basic Migrant","Number scored Writing Econ. Disadv.","Writing Advanced Econ. Disadv.","Writing Proficient Econ. Disadv.","Writing Basic Econ. Disadv.","Writing Below Basic Econ. Disadv.","Number scored Writing Male","Writing Advanced Male","Writing Proficient Male","Writing Basic              Male","Writing Below Basic             Male","Number scored Writing Female","Writing Advanced Female","Writing Proficient Female","Writing Basic Female","Writing Below Basic Female","Number scored Writing Title III","Writing Advanced Title III","Writing Proficient Title III","Writing Basic                 Title III","Writing Below Basic             Title III","Number scored Writing  White","Writing Advanced  White","Writing Proficient  White","Writing Basic  White","Writing Below Basic  White","Number scored Writing  Black","Writing Advanced  Black","Writing Proficient  Black","Writing Basic  Black","Writing Below Basic  Black","Number scored Writing  Hispanic","Writing Advanced  Hispanic","Writing Proficient  Hispanic","Writing Basic  Hispanic","Writing Below Basic  Hispanic","Number scored Writing  Asian","Writing Advanced  Asian","Writing Proficient  Asian","Writing Basic  Asian","Writing Below Basic  Asian","Number scored Writing  Native American","Writing Advanced  Native American","Writing Proficient  Native American","Writing Basic  Native American","Writing Below Basic  Native American","Number scored Writing  Multi-ethnic","Writing Advanced  Multi-ethnic","Writing Proficient  Multi-ethnic","Writing Basic  Multi-ethnic","Writing Below Basic  Multi-ethnic"
112018523,"Adams                           ",12,"UPPER ADAMS SD",5,114,12.3,74.6,13.2,0.0,12,0.0,50.0,50.0,0.0,6,"*","*","*","*",6,"*","*","*","*",8,"*","*","*","*",41,9.8,73.2,17.1,0.0,57,10.5,73.7,15.8,0.0,57,14.0,75.4,10.5,0.0,3,"*","*","*","*",83,14.5,74.7,10.8,0.0,0,"*","*","*","*",30,3.3,76.7,20.0,0.0,1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112018523,"Adams                           ",12,"UPPER ADAMS SD",8,149,4.7,69.8,20.8,4.7,32,0.0,37.5,40.6,21.9,5,"*","*","*","*",0,"*","*","*","*",9,"*","*","*","*",42,2.4,57.1,31.0,9.5,71,4.2,59.2,29.6,7.0,78,5.1,79.5,12.8,2.6,5,"*","*","*","*",127,4.7,73.2,16.5,5.5,1,"*","*","*","*",19,5.3,47.4,47.4,0.0,1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112018523,"Adams                           ",12,"UPPER ADAMS SD",11,138,4.3,80.4,14.5,0.7,21,0.0,47.6,47.6,4.8,3,"*","*","*","*",0,"*","*","*","*",8,"*","*","*","*",38,5.3,76.3,18.4,0.0,69,1.4,71.0,26.1,1.4,69,7.2,89.9,2.9,0.0,3,"*","*","*","*",109,4.6,78.9,15.6,0.9,3,"*","*","*","*",26,3.8,84.6,11.5,0.0,0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112018523,"Adams                           ",12,"UPPER ADAMS SD","District Total",401,6.7,74.8,16.5,2.0,65,0.0,43.1,44.6,12.3,14,0.0,50.0,50.0,0.0,6,"*","*","*","*",25,0.0,80.0,20.0,0.0,121,5.8,68.6,22.3,3.3,197,5.1,67.5,24.4,3.0,204,8.3,81.9,8.8,1.0,11,0.0,4.5,5.5,0.0,319,7.2,75.5,14.7,2.5,4,"*","*","*","*",75,4.0,72.0,24.0,0.0,2,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
103020603,"Allegheny                       ",3,"ALLEGHENY VALLEY SD",5,79,7.6,62.0,30.4,0.0,7,"*","*","*","*",0,"*","*","*","*",13,0.0,46.2,53.8,0.0,0,"*","*","*","*",20,5.0,60.0,35.0,0.0,42,2.4,54.8,42.9,0.0,37,13.5,70.3,16.2,0.0,0,"*","*","*","*",76,7.9,64.5,27.6,0.0,2,"*","*","*","*",1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
103020603,"Allegheny                       ",3,"ALLEGHENY VALLEY SD",8,89,7.9,62.9,24.7,4.5,19,0.0,47.4,36.8,15.8,0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",33,6.1,54.5,30.3,9.1,52,5.8,59.6,26.9,7.7,37,10.8,67.6,21.6,0.0,0,"*","*","*","*",87,8.0,64.4,23.0,4.6,1,"*","*","*","*",0,"*","*","*","*",1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
103020603,"Allegheny                       ",3,"ALLEGHENY VALLEY SD",11,100,5.0,90.0,5.0,0.0,10,0.0,50.0,50.0,0.0,0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",18,0.0,88.9,11.1,0.0,57,3.5,87.7,8.8,0.0,43,7.0,93.0,0.0,0.0,0,"*","*","*","*",96,5.2,90.6,4.2,0.0,1,"*","*","*","*",2,"*","*","*","*",1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
103020603,"Allegheny                       ",3,"ALLEGHENY VALLEY SD","District Total",268,6.7,72.8,19.0,1.5,36,0.0,41.7,50.0,8.3,0,"*","*","*","*",13,0.0,46.2,53.8,0.0,0,"*","*","*","*",71,4.2,64.8,26.8,4.2,151,4.0,68.9,24.5,2.6,117,10.3,77.8,12.0,0.0,0,"*","*","*","*",259,6.9,74.1,17.4,1.5,4,"*","*","*","*",3,"*","*","*","*",2,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
103020753,"Allegheny                       ",3,"AVONWORTH SD",5,116,10.3,82.8,6.9,0.0,13,7.7,61.5,30.8,0.0,1,"*","*","*","*",17,5.9,88.2,5.9,0.0,0,"*","*","*","*",11,0.0,81.8,18.2,0.0,59,10.2,79.7,10.2,0.0,57,10.5,86.0,3.5,0.0,0,"*","*","*","*",110,10.9,81.8,7.3,0.0,4,"*","*","*","*",0,"*","*","*","*",2,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
103020753,"Allegheny                       ",3,"AVONWORTH SD",8,100,11.0,72.0,15.0,2.0,15,0.0,46.7,53.3,0.0,2,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",9,"*","*","*","*",41,0.0,70.7,24.4,4.9,59,18.6,72.9,8.5,0.0,0,"*","*","*","*",98,11.2,71.4,15.3,2.0,0,"*","*","*","*",2,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
