"AUN","County","IU","District Name","Grade","% Advanced/Proficient Math","% Advanced/Proficient Reading","Number Scored Math","% Advanced Math","% Proficient Math","% Basic Math","% Below Basic Math","Number Scored Reading","% Advanced Reading","% Proficient Reading","% Basic Reading","% Below Basic Reading"
103022503,"ALLEGHENY",3,"DUQUESNE CITY SD",11,16.7,41.9,42,14.3,2.4,16.7,66.7,43,4.7,37.2,18.6,39.5
103022803,"ALLEGHENY",3,"EAST ALLEGHENY SD",3,88.0,63.0,132,55.0,33.0,11.0,2.0,132,20.0,43.0,20.0,17.0
103022803,"ALLEGHENY",3,"EAST ALLEGHENY SD",5,63.4,61.5,161,34.8,28.6,20.5,16.1,161,21.1,40.4,21.7,16.8
103022803,"ALLEGHENY",3,"EAST ALLEGHENY SD",8,50.0,52.0,150,26.7,23.3,18.7,31.3,150,30.7,21.3,15.3,32.7
103022803,"ALLEGHENY",3,"EAST ALLEGHENY SD",11,33.8,46.3,136,15.4,18.4,21.3,44.9,136,17.6,28.7,21.3,32.4
103023153,"ALLEGHENY",3,"ELIZABETH FORWARD SD",3,94.0,80.0,198,64.0,30.0,6.0,1.0,198,39.0,41.0,13.0,7.0
103023153,"ALLEGHENY",3,"ELIZABETH FORWARD SD",5,67.8,68.7,217,33.2,34.6,22.1,10.1,217,24.9,43.8,17.5,13.8
103023153,"ALLEGHENY",3,"ELIZABETH FORWARD SD",8,63.1,70.7,255,29.0,34.1,19.6,17.3,256,32.0,38.7,15.6,13.7
103023153,"ALLEGHENY",3,"ELIZABETH FORWARD SD",11,45.5,69.1,224,19.2,26.3,26.8,27.7,223,27.4,41.7,13.9,17.0
103023912,"ALLEGHENY",3,"FOX CHAPEL AREA SD",3,95.0,88.0,281,80.0,15.0,4.0,2.0,281,63.0,25.0,7.0,6.0
103023912,"ALLEGHENY",3,"FOX CHAPEL AREA SD",5,85.1,85.3,356,54.5,30.6,9.8,5.1,354,43.2,42.1,6.8,7.9
103023912,"ALLEGHENY",3,"FOX CHAPEL AREA SD",8,84.3,84.8,413,61.3,23.0,8.7,7.0,412,60.0,24.8,8.5,6.8
103023912,"ALLEGHENY",3,"FOX CHAPEL AREA SD",11,71.6,78.8,373,44.0,27.6,13.7,14.7,373,55.5,23.3,9.4,11.8
103024102,"ALLEGHENY",3,"GATEWAY SD",3,86.0,79.0,271,55.0,31.0,10.0,4.0,270,40.0,39.0,13.0,8.0
103024102,"ALLEGHENY",3,"GATEWAY SD",5,60.0,69.3,300,28.7,31.3,27.7,12.3,300,26.0,43.3,16.0,14.7
103024102,"ALLEGHENY",3,"GATEWAY SD",8,67.8,68.1,355,37.7,30.1,14.4,17.7,354,41.0,27.1,13.8,18.1
103024102,"ALLEGHENY",3,"GATEWAY SD",11,63.3,73.0,349,34.4,28.9,14.6,22.1,348,43.4,29.6,9.5,17.5
103024603,"ALLEGHENY",3,"HAMPTON TOWNSHIP SD",3,95.0,94.0,233,85.0,10.0,3.0,1.0,233,54.0,40.0,4.0,2.0
103024603,"ALLEGHENY",3,"HAMPTON TOWNSHIP SD",5,90.6,89.3,234,63.7,26.9,6.4,3.0,234,52.1,37.2,6.8,3.8
103024603,"ALLEGHENY",3,"HAMPTON TOWNSHIP SD",8,87.2,92.9,227,70.0,17.2,10.6,2.2,226,71.7,21.2,4.9,2.2
103024603,"ALLEGHENY",3,"HAMPTON TOWNSHIP SD",11,80.8,90.4,250,57.6,23.2,8.0,11.2,250,67.2,23.2,4.4,5.2
103024753,"ALLEGHENY",3,"HIGHLANDS SD",3,90.0,76.0,200,57.0,33.0,8.0,2.0,200,31.0,45.0,16.0,9.0
103024753,"ALLEGHENY",3,"HIGHLANDS SD",5,79.2,80.0,231,45.9,33.3,16.0,4.8,231,28.1,51.9,13.4,6.5
103024753,"ALLEGHENY",3,"HIGHLANDS SD",8,68.4,70.2,218,42.7,25.7,20.2,11.5,218,33.5,36.7,18.8,11.0
103024753,"ALLEGHENY",3,"HIGHLANDS SD",11,65.5,76.5,200,39.5,26.0,23.0,11.5,200,35.5,41.0,15.0,8.5
