"2006 PSSA District Level Results: % of Students at Each Performance Level (Full Academic Year)",,,,,,,,,,,,,,,,
"* Groups that have less than 10 students assessed are noted by an asterisk (*). Performance level totals may not add up to 100 due to rounding.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"AUN","County","IU","District Name","Grade","Number scored in Math","Math Advanced & Proficient","Math Advanced","Math Proficient","Math Basic","Math Below Basic","Number scored in Reading","Reading Advanced & Proficient","Reading Advanced","Reading Proficient","Reading Basic","Reading Below Basic"
103021102,"ALLEGHENY",3,"BALDWIN-WHITEHALL SD",4,290,82.1,45.2,36.9,9.0,9.0,290,68.3,27.6,40.7,15.2,16.6
103021102,"ALLEGHENY",3,"BALDWIN-WHITEHALL SD",5,284,78.6,50.4,28.2,12.7,8.8,282,64.5,18.8,45.7,15.6,19.9
103021102,"ALLEGHENY",3,"BALDWIN-WHITEHALL SD",6,312,75.9,42.6,33.3,12.8,11.2,312,77.6,35.9,41.7,11.2,11.2
103021102,"ALLEGHENY",3,"BALDWIN-WHITEHALL SD",7,307,68.1,38.8,29.3,15.3,16.6,307,66.8,30.3,36.5,18.2,15.0
103021102,"ALLEGHENY",3,"BALDWIN-WHITEHALL SD",8,328,75.9,50.9,25.0,11.9,12.2,328,75.3,47.6,27.7,11.6,13.1
103021102,"ALLEGHENY",3,"BALDWIN-WHITEHALL SD",11,368,65.5,40.8,24.7,13.3,21.2,368,75.5,42.9,32.6,13.9,10.6
103021252,"ALLEGHENY",3,"BETHEL PARK SD",3,312,93.0,73.0,20.0,4.0,3.0,312,86.0,42.0,44.0,11.0,4.0
103021252,"ALLEGHENY",3,"BETHEL PARK SD",4,371,91.1,49.9,41.2,5.9,3.0,371,87.6,42.0,45.6,9.4,3.0
103021252,"ALLEGHENY",3,"BETHEL PARK SD",5,371,80.1,51.8,28.3,16.7,3.2,370,81.9,28.4,53.5,11.4,6.8
103021252,"ALLEGHENY",3,"BETHEL PARK SD",6,349,84.2,52.4,31.8,11.2,4.6,349,82.8,49.0,33.8,11.5,5.7
103021252,"ALLEGHENY",3,"BETHEL PARK SD",7,384,80.2,51.8,28.4,11.2,8.6,384,84.7,48.2,36.5,12.0,3.4
103021252,"ALLEGHENY",3,"BETHEL PARK SD",8,408,78.7,49.8,28.9,16.4,4.9,408,92.9,69.9,23.0,5.1,2.0
103021252,"ALLEGHENY",3,"BETHEL PARK SD",11,478,66.5,36.2,30.3,20.3,13.2,478,77.8,33.9,43.9,14.2,7.9
103021453,"ALLEGHENY",3,"BRENTWOOD BOROUGH SD",3,97,93.0,65.0,28.0,6.0,1.0,97,79.0,39.0,40.0,18.0,3.0
103021453,"ALLEGHENY",3,"BRENTWOOD BOROUGH SD",4,81,90.2,51.9,38.3,4.9,4.9,81,81.5,53.1,28.4,12.3,6.2
103021453,"ALLEGHENY",3,"BRENTWOOD BOROUGH SD",5,95,71.6,28.4,43.2,23.2,5.3,95,74.7,24.2,50.5,11.6,13.7
103021453,"ALLEGHENY",3,"BRENTWOOD BOROUGH SD",6,94,89.4,64.9,24.5,5.3,5.3,94,88.3,55.3,33.0,8.5,3.2
103021453,"ALLEGHENY",3,"BRENTWOOD BOROUGH SD",7,92,69.5,30.4,39.1,18.5,12.0,92,81.5,40.2,41.3,16.3,2.2
103021453,"ALLEGHENY",3,"BRENTWOOD BOROUGH SD",8,106,51.0,18.9,32.1,26.4,22.6,105,70.5,41.0,29.5,17.1,12.4
103021453,"ALLEGHENY",3,"BRENTWOOD BOROUGH SD",11,118,76.3,44.1,32.2,10.2,13.6,118,81.4,47.5,33.9,9.3,9.3
103021603,"ALLEGHENY",3,"CARLYNTON SD",3,100,93.0,71.0,22.0,5.0,2.0,100,80.0,44.0,36.0,13.0,7.0
103021603,"ALLEGHENY",3,"CARLYNTON SD",4,81,80.3,56.8,23.5,9.9,9.9,81,80.3,34.6,45.7,8.6,11.1
103021603,"ALLEGHENY",3,"CARLYNTON SD",5,79,51.9,20.3,31.6,29.1,19.0,77,68.8,11.7,57.1,10.4,20.8
103021603,"ALLEGHENY",3,"CARLYNTON SD",6,96,55.2,19.8,35.4,26.0,18.8,96,62.5,26.0,36.5,25.0,12.5
103021603,"ALLEGHENY",3,"CARLYNTON SD",7,106,47.2,21.7,25.5,24.5,28.3,106,62.2,24.5,37.7,20.8,17.0
103021603,"ALLEGHENY",3,"CARLYNTON SD",8,123,61.0,35.0,26.0,17.1,22.0,123,75.6,49.6,26.0,11.4,13.0
103021603,"ALLEGHENY",3,"CARLYNTON SD",11,127,56.6,28.3,28.3,22.0,21.3,127,78.7,35.4,43.3,12.6,8.7
103021752,"ALLEGHENY",3,"CHARTIERS VALLEY SD",3,222,87.0,57.0,30.0,9.0,4.0,222,72.0,39.0,33.0,14.0,14.0
103021752,"ALLEGHENY",3,"CHARTIERS VALLEY SD",4,257,78.6,38.1,40.5,12.1,9.3,255,72.9,34.9,38.0,18.8,8.2
103021752,"ALLEGHENY",3,"CHARTIERS VALLEY SD",5,258,67.0,33.3,33.7,22.1,10.9,255,65.5,19.2,46.3,19.2,15.3
103021752,"ALLEGHENY",3,"CHARTIERS VALLEY SD",6,243,71.6,41.6,30.0,17.7,10.7,243,71.6,38.7,32.9,16.0,12.3
103021752,"ALLEGHENY",3,"CHARTIERS VALLEY SD",7,258,68.6,34.1,34.5,17.1,14.3,258,80.6,41.5,39.1,13.2,6.2
